33338	1	0	0
2	414	1466	18
45233	1	0	0
1	367	2119	22
3	270	1839	23
33339	1	0	0
14	180	1040	16
33340	1	0	0
6	178	768	14
25223	1	0	0
5	148	303	10
45234	1	0	0
4	148	882	17
45235	1	0	0
20	147	537	13
45236	1	0	0
21	142	1062	18
10	135	817	16
45237	1	0	0
12	134	627	13
45238	1	0	0
129	134	454	10
45239	1	0	0
72	133	867	13
45240	1	0	0
7	128	541	12
45241	1	0	0
41	125	207	7
45242	1	0	0
23	123	396	10
58025	1	0	0
36	121	1181	19
25224	1	2	1
66	121	280	8
45243	1	0	0
197	115	63	4
33341	1	0	0
24	114	854	16
25	112	1498	18
19711	1	0	0
40	112	376	10
22	110	270	8
25225	1	0	0
49	110	820	15
33342	1	0	0
37	108	252	9
28	107	432	11
19712	1	0	0
29	107	261	8
33343	1	0	0
8	105	653	14
45244	1	0	0
276	105	102	5
26	105	264	10
58026	1	1	1
130	103	946	16
45245	1	0	0
19	101	675	14
25226	1	0	0
73	99	800	14
25227	1	0	0
74	99	421	12
47	98	312	9
58027	1	0	0
68	98	477	12
45246	1	3	1
16	98	768	16
33344	1	0	0
116	97	175	6
58028	1	0	0
178	96	286	9
25228	1	1	1
11	96	301	10
66901	1	0	0
13	95	568	11
110	94	416	12
33345	1	0	0
45	91	644	13
35	89	92	5
19713	1	1	1
30	89	136	7
19714	1	1	1
131	89	615	13
58029	1	1	1
256	89	212	6
19715	1	1	1
96	89	98	6
45247	1	0	0
104	88	400	12
45248	1	0	0
42	88	581	13
19716	1	1	1
87	87	71	4
19717	1	1	1
9	86	760	16
66902	1	0	0
46	84	528	12
45249	1	0	0
51	84	374	12
45250	1	0	0
126	84	260	9
15	83	637	16
19718	1	0	0
117	82	191	7
19719	1	0	0
75	81	738	15
45251	1	0	0
18	81	505	12
19720	1	0	0
77	81	177	8
19721	1	0	0
315	81	168	7
58030	1	0	0
113	80	437	11
19722	1	0	0
257	80	195	7
19723	1	0	0
52	80	287	10
66903	1	0	0
38	79	303	11
84	79	111	5
25229	1	0	0
55	79	125	5
25230	1	0	0
53	78	470	9
33346	1	0	0
105	78	463	12
33347	1	0	0
106	78	224	8
179	77	596	12
33348	1	0	0
57	77	144	6
198	76	173	8
